 Plasma current I(rho)
  rad  pla 
 1408 1006
 rho(m) Ip(A) 
     0.00000         0.00000    
    0.138864E-02     4.97258    
    0.660019E-02     112.348    
    0.133998E-01     463.187    
    0.186114E-01     893.778    
    0.200000E-01     1032.21    
    0.210276E-01     1141.08    
    0.248841E-01     1598.47    
    0.299159E-01     2311.31    
    0.337724E-01     2946.81    
    0.348000E-01     3129.22    
    0.358276E-01     3317.14    
    0.396841E-01     4071.62    
    0.447159E-01     5173.18    
    0.485724E-01     6107.54    
    0.496000E-01     6369.72    
    0.506276E-01     6637.48    
    0.544841E-01     7692.25    
    0.595159E-01     9187.14    
    0.633724E-01     10424.3    
    0.644000E-01     10767.3    
    0.654276E-01     11116.0    
    0.692841E-01     12475.5    
    0.743159E-01     14369.8    
    0.781724E-01     15914.8    
    0.792000E-01     16340.1    
    0.802276E-01     16771.2    
    0.840841E-01     18440.7    
    0.891159E-01     20742.2    
    0.929724E-01     22601.0    
    0.940000E-01     23110.3    
    0.950276E-01     23625.5    
    0.988841E-01     25611.7    
    0.103916         28329.1    
    0.107772         30508.9    
    0.108800         31104.1    
    0.109828         31705.3    
    0.113684         34015.6    
    0.118716         37159.0    
    0.122572         39667.9    
    0.123600         40351.1    
    0.124628         41040.5    
    0.128484         43683.2    
    0.133516         47263.8    
    0.137372         50110.4    
    0.138400         50884.0    
    0.139428         51663.9    
    0.143284         54648.1    
    0.148316         58677.8    
    0.152172         61871.6    
    0.153200         62738.1    
    0.154228         63611.2    
    0.158084         66946.3    
    0.163116         71438.0    
    0.166972         74988.8    
    0.168000         75950.9    
    0.169028         76919.7    
    0.172884         80616.0    
    0.177916         85582.8    
    0.181772         89500.9    
    0.182800         90561.3    
    0.183828         91628.6    
    0.187684         95696.3    
    0.192716         101152.    
    0.196572         105448.    
    0.197600         106609.    
    0.198628         107778.    
    0.202484         112228.    
    0.207516         118186.    
    0.211372         122870.    
    0.212400         124136.    
    0.213428         125409.    
    0.217284         130251.    
    0.222316         136726.    
    0.226172         141809.    
    0.227200         143181.    
    0.228228         144561.    
    0.232084         149806.    
    0.237116         156811.    
    0.240972         162304.    
    0.242000         163785.    
    0.243028         165275.    
    0.246884         170934.    
    0.251916         178482.    
    0.255772         184394.    
    0.256800         185988.    
    0.257828         187590.    
    0.261684         193672.    
    0.266716         201776.    
    0.270572         208118.    
    0.271600         209826.    
    0.272628         211543.    
    0.276484         218058.    
    0.281516         226731.    
    0.285372         233511.    
    0.286400         235336.    
    0.287428         237171.    
    0.291284         244128.    
    0.296316         253380.    
    0.300172         260607.    
    0.301200         262552.    
    0.302228         264506.    
    0.306084         271913.    
    0.311116         281756.    
    0.314972         289437.    
    0.316000         291504.    
    0.317028         293579.    
    0.320884         301444.    
    0.325916         311887.    
    0.329772         320030.    
    0.330800         322220.    
    0.331828         324419.    
    0.335684         332748.    
    0.340716         343799.    
    0.344572         352410.    
    0.345600         354726.    
    0.346628         357049.    
    0.350484         365849.    
    0.355516         377516.    
    0.359372         386601.    
    0.360400         389042.    
    0.361428         391493.    
    0.365284         400768.    
    0.370316         413057.    
    0.374172         422620.    
    0.375200         425189.    
    0.376228         427767.    
    0.380084         437522.    
    0.385116         450438.    
    0.388972         460482.    
    0.390000         463180.    
    0.391028         465886.    
    0.394884         476124.    
    0.399916         489671.    
    0.403772         500199.    
    0.404800         503026.    
    0.405828         505862.    
    0.409684         516585.    
    0.414716         530765.    
    0.418572         541780.    
    0.419600         544736.    
    0.420628         547701.    
    0.424484         558910.    
    0.429516         573726.    
    0.433372         585227.    
    0.434400         588313.    
    0.435428         591409.    
    0.439284         603105.    
    0.444316         618555.    
    0.448172         630544.    
    0.449200         633759.    
    0.450228         636984.    
    0.454084         649167.    
    0.459116         665252.    
    0.462972         677726.    
    0.464000         681071.    
    0.465028         684425.    
    0.468884         697093.    
    0.473916         713811.    
    0.477772         726770.    
    0.478800         730244.    
    0.479828         733727.    
    0.483684         746878.    
    0.488716         764226.    
    0.492572         777666.    
    0.493600         781269.    
    0.494628         784880.    
    0.498484         798512.    
    0.503516         816485.    
    0.507372         830404.    
    0.508400         834134.    
    0.509428         837873.    
    0.513284         851982.    
