 Poloidal flux derivative dPsi/dr
  rad  pla 
 1408 1006
 rho(m) dPsi/dr 
     0.00000         0.00000    
    0.138864E-02    0.391491E-01
    0.660019E-02    0.186096    
    0.133998E-01    0.377906    
    0.186114E-01    0.525018    
    0.200000E-01    0.564235    
    0.210276E-01    0.593262    
    0.248841E-01    0.702263    
    0.299159E-01    0.844635    
    0.337724E-01    0.953886    
    0.348000E-01    0.983017    
    0.358276E-01     1.01216    
    0.396841E-01     1.12162    
    0.447159E-01     1.26468    
    0.485724E-01     1.37452    
    0.496000E-01     1.40382    
    0.506276E-01     1.43313    
    0.544841E-01     1.54326    
    0.595159E-01     1.68727    
    0.633724E-01     1.79790    
    0.644000E-01     1.82741    
    0.654276E-01     1.85695    
    0.692841E-01     1.96794    
    0.743159E-01     2.11315    
    0.781724E-01     2.22475    
    0.792000E-01     2.25453    
    0.802276E-01     2.28433    
    0.840841E-01     2.39636    
    0.891159E-01     2.54297    
    0.929724E-01     2.65570    
    0.940000E-01     2.68578    
    0.950276E-01     2.71589    
    0.988841E-01     2.82911    
    0.103916         2.97732    
    0.107772         3.09130    
    0.108800         3.12172    
    0.109828         3.15218    
    0.113684         3.26669    
    0.118716         3.41664    
    0.122572         3.53198    
    0.123600         3.56278    
    0.124628         3.59360    
    0.128484         3.70951    
    0.133516         3.86131    
    0.137372         3.97809    
    0.138400         4.00927    
    0.139428         4.04048    
    0.143284         4.15785    
    0.148316         4.31158    
    0.152172         4.42985    
    0.153200         4.46143    
    0.154228         4.49303    
    0.158084         4.61191    
    0.163116         4.76761    
    0.166972         4.88739    
    0.168000         4.91938    
    0.169028         4.95139    
    0.172884         5.07178    
    0.177916         5.22946    
    0.181772         5.35076    
    0.182800         5.38315    
    0.183828         5.41557    
    0.187684         5.53747    
    0.192716         5.69712    
    0.196572         5.81992    
    0.197600         5.85271    
    0.198628         5.88552    
    0.202484         6.00892    
    0.207516         6.17049    
    0.211372         6.29476    
    0.212400         6.32794    
    0.213428         6.36114    
    0.217284         6.48599    
    0.222316         6.64943    
    0.226172         6.77512    
    0.227200         6.80868    
    0.228228         6.84225    
    0.232084         6.96850    
    0.237116         7.13375    
    0.240972         7.26080    
    0.242000         7.29471    
    0.243028         7.32865    
    0.246884         7.45623    
    0.251916         7.62320    
    0.255772         7.75155    
    0.256800         7.78581    
    0.257828         7.82009    
    0.261684         7.94894    
    0.266716         8.11754    
    0.270572         8.24713    
    0.271600         8.28171    
    0.272628         8.31631    
    0.276484         8.44637    
    0.281516         8.61651    
    0.285372         8.74725    
    0.286400         8.78214    
    0.287428         8.81705    
    0.291284         8.94824    
    0.296316         9.11983    
    0.300172         9.25166    
    0.301200         9.28683    
    0.302228         9.32203    
    0.306084         9.45428    
    0.311116         9.62722    
    0.314972         9.76008    
    0.316000         9.79552    
    0.317028         9.83098    
    0.320884         9.96422    
    0.325916         10.1384    
    0.329772         10.2722    
    0.330800         10.3079    
    0.331828         10.3436    
    0.335684         10.4778    
    0.340716         10.6532    
    0.344572         10.7879    
