 Elongation kappa
  rad  pla 
 1408 1006
 rho(m) kappa 
     0.00000         1.00000    
    0.138864E-02     1.00001    
    0.660019E-02     1.00015    
    0.133998E-01     1.00062    
    0.186114E-01     1.00119    
    0.200000E-01     1.00137    
    0.210276E-01     1.00152    
    0.248841E-01     1.00212    
    0.299159E-01     1.00306    
    0.337724E-01     1.00390    
    0.348000E-01     1.00414    
    0.358276E-01     1.00439    
    0.396841E-01     1.00538    
    0.447159E-01     1.00682    
    0.485724E-01     1.00804    
    0.496000E-01     1.00838    
    0.506276E-01     1.00873    
    0.544841E-01     1.01010    
    0.595159E-01     1.01203    
    0.633724E-01     1.01362    
    0.644000E-01     1.01406    
    0.654276E-01     1.01450    
    0.692841E-01     1.01624    
    0.743159E-01     1.01864    
    0.781724E-01     1.02059    
    0.792000E-01     1.02112    
    0.802276E-01     1.02166    
    0.840841E-01     1.02375    
    0.891159E-01     1.02660    
    0.929724E-01     1.02889    
    0.940000E-01     1.02952    
    0.950276E-01     1.03015    
    0.988841E-01     1.03257    
    0.103916         1.03586    
    0.107772         1.03847    
    0.108800         1.03918    
    0.109828         1.03990    
    0.113684         1.04263    
    0.118716         1.04632    
    0.122572         1.04924    
    0.123600         1.05003    
    0.124628         1.05083    
    0.128484         1.05386    
    0.133516         1.05793    
    0.137372         1.06113    
    0.138400         1.06199    
    0.139428         1.06286    
    0.143284         1.06616    
    0.148316         1.07058    
    0.152172         1.07403    
    0.153200         1.07496    
    0.154228         1.07590    
    0.158084         1.07945    
    0.163116         1.08417    
    0.166972         1.08786    
    0.168000         1.08885    
    0.169028         1.08985    
    0.172884         1.09362    
    0.177916         1.09862    
    0.181772         1.10252    
    0.182800         1.10356    
    0.183828         1.10461    
    0.187684         1.10858    
    0.192716         1.11382    
    0.196572         1.11789    
    0.197600         1.11898    
    0.198628         1.12007    
    0.202484         1.12421    
    0.207516         1.12966    
    0.211372         1.13387    
    0.212400         1.13500    
    0.213428         1.13614    
    0.217284         1.14041    
    0.222316         1.14602    
    0.226172         1.15036    
    0.227200         1.15152    
    0.228228         1.15268    
    0.232084         1.15706    
    0.237116         1.16281    
    0.240972         1.16724    
    0.242000         1.16843    
    0.243028         1.16961    
    0.246884         1.17407    
    0.251916         1.17992    
    0.255772         1.18441    
    0.256800         1.18561    
    0.257828         1.18682    
    0.261684         1.19133    
    0.266716         1.19723    
    0.270572         1.20177    
    0.271600         1.20298    
    0.272628         1.20419    
    0.276484         1.20873    
    0.281516         1.21466    
    0.285372         1.21920    
    0.286400         1.22042    
    0.287428         1.22163    
    0.291284         1.22617    
    0.296316         1.23209    
    0.300172         1.23663    
    0.301200         1.23783    
    0.302228         1.23904    
    0.306084         1.24356    
    0.311116         1.24944    
    0.314972         1.25394    
    0.316000         1.25514    
    0.317028         1.25633    
    0.320884         1.26081    
    0.325916         1.26662    
    0.329772         1.27106    
    0.330800         1.27224    
    0.331828         1.27342    
    0.335684         1.27783    
    0.340716         1.28355    
    0.344572         1.28791    
    0.345600         1.28907    
    0.346628         1.29023    
    0.350484         1.29455    
    0.355516         1.30015    
    0.359372         1.30442    
    0.360400         1.30555    
    0.361428         1.30668    
    0.365284         1.31090    
    0.370316         1.31636    
    0.374172         1.32051    
    0.375200         1.32161    
    0.376228         1.32271    
    0.380084         1.32681    
    0.385116         1.33211    
    0.388972         1.33613    
    0.390000         1.33720    
    0.391028         1.33826    
    0.394884         1.34223    
    0.399916         1.34736    
    0.403772         1.35124    
    0.404800         1.35227    
    0.405828         1.35329    
    0.409684         1.35712    
    0.414716         1.36205    
    0.418572         1.36578    
    0.419600         1.36677    
    0.420628         1.36776    
    0.424484         1.37143    
    0.429516         1.37615    
    0.433372         1.37973    
    0.434400         1.38067    
    0.435428         1.38162    
    0.439284         1.38512    
    0.444316         1.38964    
    0.448172         1.39305    
    0.449200         1.39395    
    0.450228         1.39485    
    0.454084         1.39819    
    0.459116         1.40248    
    0.462972         1.40572    
    0.464000         1.40657    
    0.465028         1.40743    
    0.468884         1.41060    
    0.473916         1.41467    
    0.477772         1.41773    
    0.478800         1.41854    
    0.479828         1.41935    
    0.483684         1.42234    
    0.488716         1.42618    
    0.492572         1.42907    
    0.493600         1.42984    
    0.494628         1.43060    
    0.498484         1.43342    
    0.503516         1.43703    
    0.507372         1.43975    
    0.508400         1.44046    
    0.509428         1.44117    
    0.513284         1.44382    
    0.518316         1.44721    
    0.522172         1.44975    
    0.523200         1.45042    
    0.524228         1.45109    
    0.528084         1.45356    
    0.533116         1.45672    
    0.536972         1.45910    
    0.538000         1.45972    
    0.539028         1.46034    
    0.542884         1.46265    
    0.547916         1.46559    
    0.551772         1.46780    
    0.552800         1.46838    
    0.553828         1.46895    
    0.557684         1.47109    
    0.562716         1.47382    
    0.566572         1.47587    
    0.567600         1.47640    
    0.568628         1.47694    
    0.572484         1.47892    
    0.577516         1.48144    
    0.581372         1.48333    
    0.582400         1.48382    
    0.583428         1.48432    
    0.587284         1.48614    
    0.592316         1.48846    
    0.596172         1.49020    
    0.597200         1.49066    
    0.598228         1.49111    
    0.602084         1.49279    
    0.607116         1.49492    
    0.610972         1.49651    
    0.612000         1.49693    
    0.613028         1.49735    
    0.616884         1.49888    
    0.621916         1.50083    
    0.625772         1.50229    
    0.626800         1.50267    
    0.627828         1.50305    
    0.631684         1.50445    
    0.636716         1.50623    
    0.640572         1.50756    
    0.641600         1.50790    
    0.642628         1.50825    
    0.646484         1.50952    
    0.651516         1.51114    
    0.655372         1.51235    
    0.656400         1.51266    
    0.657428         1.51297    
    0.661284         1.51413    
    0.666316         1.51560    
    0.670172         1.51669    
    0.671200         1.51697    
    0.672228         1.51726    
    0.676084         1.51830    
    0.681116         1.51962    
    0.684972         1.52061    
    0.686000         1.52086    
    0.687028         1.52112    
    0.690884         1.52206    
    0.695916         1.52325    
    0.699772         1.52414    
    0.700800         1.52437    
    0.701828         1.52460    
    0.705684         1.52544    
    0.710716         1.52651    
    0.714572         1.52731    
    0.715600         1.52751    
    0.716628         1.52772    
    0.720484         1.52848    
    0.725516         1.52943    
    0.729372         1.53014    
    0.730400         1.53033    
    0.731428         1.53051    
    0.735284         1.53118    
    0.740316         1.53204    
    0.744172         1.53267    
    0.745200         1.53283    
    0.746228         1.53300    
    0.750084         1.53360    
    0.755116         1.53436    
    0.758972         1.53492    
    0.760000         1.53506    
    0.761028         1.53521    
    0.764884         1.53574    
