 Lambda(rho) = 1/(2pi) int[Ntheta^2/(R.J) dthteta]
  rad  pla 
 1408 1006
 rho(m) lambda 
     0.00000         0.00000    
    0.138864E-02    0.159613E-03
    0.660019E-02    0.758644E-03
    0.133998E-01    0.154022E-02
    0.186114E-01    0.213927E-02
    0.200000E-01    0.229889E-02
    0.210276E-01    0.241701E-02
    0.248841E-01    0.286032E-02
    0.299159E-01    0.343874E-02
    0.337724E-01    0.388209E-02
    0.348000E-01    0.400023E-02
    0.358276E-01    0.411837E-02
    0.396841E-01    0.456175E-02
    0.447159E-01    0.514028E-02
    0.485724E-01    0.558374E-02
    0.496000E-01    0.570191E-02
    0.506276E-01    0.582008E-02
    0.544841E-01    0.626360E-02
    0.595159E-01    0.684236E-02
    0.633724E-01    0.728602E-02
    0.644000E-01    0.740425E-02
    0.654276E-01    0.752248E-02
    0.692841E-01    0.796625E-02
    0.743159E-01    0.854539E-02
    0.781724E-01    0.898938E-02
    0.792000E-01    0.910771E-02
    0.802276E-01    0.922604E-02
    0.840841E-01    0.967022E-02
    0.891159E-01    0.102500E-01
    0.929724E-01    0.106945E-01
    0.940000E-01    0.108130E-01
    0.950276E-01    0.109314E-01
    0.988841E-01    0.113762E-01
    0.103916        0.119569E-01
    0.107772        0.124021E-01
    0.108800        0.125208E-01
    0.109828        0.126395E-01
    0.113684        0.130852E-01
    0.118716        0.136671E-01
    0.122572        0.141134E-01
    0.123600        0.142323E-01
    0.124628        0.143513E-01
    0.128484        0.147982E-01
    0.133516        0.153817E-01
    0.137372        0.158294E-01
    0.138400        0.159487E-01
    0.139428        0.160681E-01
    0.143284        0.165164E-01
    0.148316        0.171020E-01
    0.152172        0.175514E-01
    0.153200        0.176713E-01
    0.154228        0.177911E-01
    0.158084        0.182413E-01
    0.163116        0.188295E-01
    0.166972        0.192810E-01
    0.168000        0.194014E-01
    0.169028        0.195218E-01
    0.172884        0.199742E-01
    0.177916        0.205655E-01
    0.181772        0.210195E-01
    0.182800        0.211405E-01
    0.183828        0.212616E-01
    0.187684        0.217167E-01
    0.192716        0.223115E-01
    0.196572        0.227683E-01
    0.197600        0.228901E-01
    0.198628        0.230120E-01
    0.202484        0.234700E-01
    0.207516        0.240689E-01
    0.211372        0.245288E-01
    0.212400        0.246516E-01
    0.213428        0.247743E-01
    0.217284        0.252357E-01
    0.222316        0.258389E-01
    0.226172        0.263024E-01
    0.227200        0.264261E-01
    0.228228        0.265498E-01
    0.232084        0.270147E-01
    0.237116        0.276229E-01
    0.240972        0.280901E-01
    0.242000        0.282148E-01
    0.243028        0.283395E-01
    0.246884        0.288084E-01
    0.251916        0.294216E-01
    0.255772        0.298929E-01
    0.256800        0.300186E-01
    0.257828        0.301444E-01
    0.261684        0.306174E-01
    0.266716        0.312360E-01
    0.270572        0.317114E-01
    0.271600        0.318383E-01
    0.272628        0.319652E-01
    0.276484        0.324424E-01
    0.281516        0.330666E-01
    0.285372        0.335463E-01
    0.286400        0.336743E-01
    0.287428        0.338024E-01
    0.291284        0.342838E-01
    0.296316        0.349137E-01
    0.300172        0.353977E-01
    0.301200        0.355269E-01
    0.302228        0.356561E-01
    0.306084        0.361419E-01
    0.311116        0.367774E-01
    0.314972        0.372658E-01
    0.316000        0.373961E-01
    0.317028        0.375265E-01
    0.320884        0.380166E-01
    0.325916        0.386577E-01
    0.329772        0.391503E-01
    0.330800        0.392817E-01
    0.331828        0.394133E-01
    0.335684        0.399075E-01
    0.340716        0.405541E-01
    0.344572        0.410508E-01
    0.345600        0.411834E-01
    0.346628        0.413160E-01
    0.350484        0.418143E-01
    0.355516        0.424661E-01
    0.359372        0.429668E-01
    0.360400        0.431004E-01
    0.361428        0.432341E-01
    0.365284        0.437363E-01
    0.370316        0.443931E-01
    0.374172        0.448975E-01
    0.375200        0.450321E-01
    0.376228        0.451667E-01
    0.380084        0.456726E-01
    0.385116        0.463340E-01
    0.388972        0.468420E-01
    0.390000        0.469775E-01
    0.391028        0.471131E-01
    0.394884        0.476224E-01
    0.399916        0.482881E-01
    0.403772        0.487993E-01
    0.404800        0.489357E-01
    0.405828        0.490721E-01
    0.409684        0.495845E-01
    0.414716        0.502542E-01
    0.418572        0.507683E-01
    0.419600        0.509054E-01
    0.420628        0.510426E-01
    0.424484        0.515578E-01
    0.429516        0.522311E-01
    0.433372        0.527478E-01
    0.434400        0.528856E-01
    0.435428        0.530235E-01
    0.439284        0.535412E-01
    0.444316        0.542176E-01
    0.448172        0.547367E-01
    0.449200        0.548751E-01
    0.450228        0.550136E-01
    0.454084        0.555335E-01
    0.459116        0.562126E-01
    0.462972        0.567337E-01
    0.464000        0.568726E-01
    0.465028        0.570116E-01
    0.468884        0.575334E-01
    0.473916        0.582149E-01
    0.477772        0.587377E-01
    0.478800        0.588771E-01
    0.479828        0.590165E-01
    0.483684        0.595399E-01
    0.488716        0.602233E-01
    0.492572        0.607475E-01
    0.493600        0.608872E-01
    0.494628        0.610270E-01
    0.498484        0.615517E-01
    0.503516        0.622367E-01
    0.507372        0.627621E-01
    0.508400        0.629021E-01
    0.509428        0.630421E-01
    0.513284        0.635678E-01
    0.518316        0.642541E-01
    0.522172        0.647803E-01
    0.523200        0.649206E-01
    0.524228        0.650608E-01
    0.528084        0.655873E-01
    0.533116        0.662745E-01
    0.536972        0.668013E-01
    0.538000        0.669417E-01
    0.539028        0.670822E-01
    0.542884        0.676092E-01
    0.547916        0.682970E-01
    0.551772        0.688243E-01
    0.552800        0.689648E-01
    0.553828        0.691053E-01
    0.557684        0.696327E-01
    0.562716        0.703209E-01
    0.566572        0.708484E-01
    0.567600        0.709890E-01
    0.568628        0.711295E-01
    0.572484        0.716571E-01
    0.577516        0.723455E-01
    0.581372        0.728731E-01
    0.582400        0.730136E-01
    0.583428        0.731542E-01
    0.587284        0.736818E-01
    0.592316        0.743701E-01
    0.596172        0.748977E-01
    0.597200        0.750382E-01
    0.598228        0.751788E-01
    0.602084        0.757063E-01
    0.607116        0.763944E-01
    0.610972        0.769218E-01
    0.612000        0.770623E-01
    0.613028        0.772028E-01
    0.616884        0.777301E-01
    0.621916        0.784179E-01
    0.625772        0.789450E-01
    0.626800        0.790855E-01
    0.627828        0.792259E-01
    0.631684        0.797529E-01
    0.636716        0.804404E-01
    0.640572        0.809672E-01
    0.641600        0.811075E-01
    0.642628        0.812479E-01
    0.646484        0.817746E-01
    0.651516        0.824616E-01
    0.655372        0.829880E-01
    0.656400        0.831283E-01
    0.657428        0.832686E-01
    0.661284        0.837949E-01
    0.666316        0.844814E-01
    0.670172        0.850075E-01
    0.671200        0.851477E-01
    0.672228        0.852878E-01
    0.676084        0.858138E-01
    0.681116        0.864999E-01
    0.684972        0.870256E-01
    0.686000        0.871657E-01
    0.687028        0.873057E-01
    0.690884        0.878313E-01
    0.695916        0.885169E-01
    0.699772        0.890423E-01
    0.700800        0.891823E-01
    0.701828        0.893222E-01
    0.705684        0.898475E-01
    0.710716        0.905326E-01
    0.714572        0.910577E-01
    0.715600        0.911976E-01
    0.716628        0.913375E-01
    0.720484        0.918624E-01
    0.725516        0.925472E-01
    0.729372        0.930720E-01
    0.730400        0.932118E-01
    0.731428        0.933516E-01
    0.735284        0.938763E-01
    0.740316        0.945608E-01
    0.744172        0.950854E-01
    0.745200        0.952251E-01
    0.746228        0.953649E-01
    0.750084        0.958894E-01
    0.755116        0.965736E-01
    0.758972        0.970980E-01
    0.760000        0.972378E-01
    0.761028        0.973775E-01
    0.764884        0.979018E-01
    0.769916        0.985859E-01
    0.773772        0.991103E-01
    0.774800        0.992500E-01
    0.775828        0.993897E-01
    0.779684        0.999139E-01
    0.784716        0.100598    
    0.788572        0.101122    
    0.789600        0.101262    
    0.790628        0.101402    
    0.794484        0.101926    
    0.799516        0.102610    
    0.803372        0.103134    
    0.804400        0.103274    
    0.805428        0.103414    
    0.809284        0.103938    
    0.814316        0.104623    
    0.818172        0.105147    
    0.819200        0.105287    
    0.820228        0.105427    
    0.824084        0.105951    
    0.829116        0.106636    
    0.832972        0.107160    
    0.834000        0.107300    
    0.835028        0.107440    
    0.838884        0.107965    
    0.843916        0.108650    
    0.847772        0.109175    
    0.848800        0.109314    
    0.849828        0.109454    
    0.853684        0.109980    
    0.858716        0.110665    
    0.862572        0.111190    
    0.863600        0.111330    
    0.864628        0.111470    
    0.868484        0.111996    
    0.873516        0.112682    
    0.877372        0.113207    
    0.878400        0.113348    
    0.879428        0.113488    
    0.883284        0.114014    
    0.888316        0.114700    
    0.892172        0.115227    
    0.893200        0.115367    
    0.894228        0.115507    
    0.898084        0.116034    
    0.903116        0.116721    
    0.906972        0.117248    
    0.908000        0.117388    
    0.909028        0.117529    
    0.912884        0.118056    
    0.917916        0.118744    
    0.921772        0.119272    
    0.922800        0.119412    
    0.923828        0.119553    
    0.927684        0.120081    
    0.932716        0.120770    
    0.936572        0.121298    
    0.937600        0.121439    
    0.938628        0.121580    
    0.942484        0.122109    
    0.947516        0.122799    
    0.951372        0.123328    
    0.952400        0.123469    
    0.953428        0.123610    
    0.957284        0.124139    
    0.962316        0.124830    
    0.966172        0.125360    
    0.967200        0.125502    
    0.968228        0.125643    
    0.972084        0.126173    
    0.977116        0.126866    
    0.980972        0.127396    
    0.982000        0.127538    
    0.983028        0.127679    
    0.986884        0.128211    
    0.991916        0.128904    
    0.995772        0.129436    
    0.996800        0.129578    
    0.997828        0.129720    
     1.00168        0.130252    
     1.00672        0.130947    
     1.01057        0.131480    
     1.01160        0.131622    
     1.01263        0.131764    
     1.01648        0.132297    
     1.02152        0.132993    
     1.02537        0.133527    
     1.02640        0.133669    
     1.02743        0.133812    
     1.03128        0.134346    
     1.03632        0.135043    
     1.04017        0.135578    
     1.04120        0.135721    
     1.04223        0.135864    
     1.04608        0.136399    
     1.05112        0.137098    
     1.05497        0.137634    
     1.05600        0.137777    
     1.05703        0.137920    
     1.06088        0.138457    
     1.06592        0.139157    
     1.06977        0.139695    
     1.07080        0.139838    
     1.07183        0.139981    
     1.07568        0.140519    
     1.08072        0.141221    
     1.08457        0.141759    
     1.08560        0.141903    
     1.08663        0.142046    
     1.09048        0.142585    
     1.09552        0.143289    
     1.09937        0.143829    
     1.10040        0.143973    
     1.10143        0.144117    
     1.10528        0.144657    
     1.11032        0.145362    
     1.11417        0.145903    
     1.11520        0.146047    
     1.11623        0.146191    
     1.12008        0.146733    
     1.12512        0.147440    
     1.12897        0.147982    
     1.13000        0.148127    
     1.13103        0.148271    
     1.13488        0.148814    
     1.13992        0.149523    
     1.14377        0.150066    
     1.14480        0.150211    
     1.14583        0.150356    
     1.14968        0.150900    
     1.15472        0.151611    
     1.15857        0.152156    
     1.15960        0.152301    
     1.16063        0.152446    
     1.16448        0.152992    
     1.16952        0.153704    
     1.17337        0.154250    
     1.17440        0.154396    
     1.17543        0.154541    
     1.17928        0.155088    
     1.18432        0.155802    
     1.18817        0.156350    
     1.18920        0.156496    
     1.19023        0.156642    
     1.19408        0.157190    
     1.19912        0.157906    
     1.20297        0.158455    
     1.20400        0.158601    
     1.20503        0.158747    
     1.20888        0.159297    
     1.21392        0.160015    
     1.21777        0.160565    
     1.21880        0.160712    
     1.21983        0.160859    
     1.22368        0.161410    
     1.22872        0.162129    
     1.23257        0.162681    
     1.23360        0.162828    
     1.23463        0.162975    
     1.23848        0.163528    
     1.24352        0.164249    
     1.24737        0.164802    
     1.24840        0.164950    
     1.24943        0.165097    
     1.25328        0.165651    
     1.25832        0.166375    
     1.26217        0.166929    
     1.26320        0.167077    
     1.26423        0.167225    
     1.26808        0.167781    
     1.27312        0.168506    
     1.27697        0.169062    
     1.27800        0.169211    
     1.27903        0.169359    
     1.28288        0.169916    
     1.28792        0.170643    
     1.29177        0.171201    
     1.29280        0.171349    
     1.29383        0.171498    
     1.29768        0.172057    
     1.30272        0.172786    
     1.30657        0.173345    
     1.30760        0.173494    
     1.30863        0.173643    
     1.31248        0.174203    
     1.31752        0.174934    
     1.32137        0.175495    
     1.32240        0.175645    
     1.32343        0.175794    
     1.32728        0.176356    
     1.33232        0.177089    
     1.33617        0.177651    
     1.33720        0.177801    
