 Major radius at Z=Zmag
  rad  pla 
 1408 1006
 rho(m) R(m) 
     0.00000         8.70000    
    0.138864E-02     8.70139    
    0.660019E-02     8.70660    
    0.133998E-01     8.71339    
    0.186114E-01     8.71859    
    0.200000E-01     8.71998    
    0.210276E-01     8.72101    
    0.248841E-01     8.72485    
    0.299159E-01     8.72987    
    0.337724E-01     8.73372    
    0.348000E-01     8.73474    
    0.358276E-01     8.73576    
    0.396841E-01     8.73961    
    0.447159E-01     8.74462    
    0.485724E-01     8.74845    
    0.496000E-01     8.74948    
    0.506276E-01     8.75050    
    0.544841E-01     8.75434    
    0.595159E-01     8.75934    
    0.633724E-01     8.76317    
    0.644000E-01     8.76419    
    0.654276E-01     8.76521    
    0.692841E-01     8.76904    
    0.743159E-01     8.77404    
    0.781724E-01     8.77787    
    0.792000E-01     8.77889    
    0.802276E-01     8.77991    
    0.840841E-01     8.78373    
    0.891159E-01     8.78872    
    0.929724E-01     8.79254    
    0.940000E-01     8.79356    
    0.950276E-01     8.79458    
    0.988841E-01     8.79840    
    0.103916         8.80338    
    0.107772         8.80719    
    0.108800         8.80821    
    0.109828         8.80923    
    0.113684         8.81304    
    0.118716         8.81801    
    0.122572         8.82182    
    0.123600         8.82284    
    0.124628         8.82385    
    0.128484         8.82766    
    0.133516         8.83263    
    0.137372         8.83643    
    0.138400         8.83744    
    0.139428         8.83846    
    0.143284         8.84226    
    0.148316         8.84722    
    0.152172         8.85102    
    0.153200         8.85203    
    0.154228         8.85304    
    0.158084         8.85684    
    0.163116         8.86179    
    0.166972         8.86558    
    0.168000         8.86659    
    0.169028         8.86760    
    0.172884         8.87139    
    0.177916         8.87634    
    0.181772         8.88013    
    0.182800         8.88113    
    0.183828         8.88214    
    0.187684         8.88593    
    0.192716         8.89087    
    0.196572         8.89465    
    0.197600         8.89565    
    0.198628         8.89666    
    0.202484         8.90044    
    0.207516         8.90537    
    0.211372         8.90915    
    0.212400         8.91015    
    0.213428         8.91116    
    0.217284         8.91493    
    0.222316         8.91986    
    0.226172         8.92363    
    0.227200         8.92463    
    0.228228         8.92563    
    0.232084         8.92940    
    0.237116         8.93432    
    0.240972         8.93808    
    0.242000         8.93909    
    0.243028         8.94009    
    0.246884         8.94385    
    0.251916         8.94876    
    0.255772         8.95252    
    0.256800         8.95352    
    0.257828         8.95452    
    0.261684         8.95828    
    0.266716         8.96318    
    0.270572         8.96693    
    0.271600         8.96793    
    0.272628         8.96893    
    0.276484         8.97268    
    0.281516         8.97758    
    0.285372         8.98133    
    0.286400         8.98232    
    0.287428         8.98332    
    0.291284         8.98707    
    0.296316         8.99195    
    0.300172         8.99570    
    0.301200         8.99669    
    0.302228         8.99769    
    0.306084         9.00143    
    0.311116         9.00631    
    0.314972         9.01005    
    0.316000         9.01104    
    0.317028         9.01204    
    0.320884         9.01577    
    0.325916         9.02065    
    0.329772         9.02438    
    0.330800         9.02537    
    0.331828         9.02637    
    0.335684         9.03010    
    0.340716         9.03496    
    0.344572         9.03869    
    0.345600         9.03968    
    0.346628         9.04067    
    0.350484         9.04440    
    0.355516         9.04925    
    0.359372         9.05297    
    0.360400         9.05397    
    0.361428         9.05496    
    0.365284         9.05868    
    0.370316         9.06353    
    0.374172         9.06724    
    0.375200         9.06823    
    0.376228         9.06922    
    0.380084         9.07293    
    0.385116         9.07778    
    0.388972         9.08149    
    0.390000         9.08248    
    0.391028         9.08346    
    0.394884         9.08717    
    0.399916         9.09201    
    0.403772         9.09571    
    0.404800         9.09670    
    0.405828         9.09769    
    0.409684         9.10139    
    0.414716         9.10622    
    0.418572         9.10992    
    0.419600         9.11090    
    0.420628         9.11189    
    0.424484         9.11559    
    0.429516         9.12041    
    0.433372         9.12410    
    0.434400         9.12509    
    0.435428         9.12607    
    0.439284         9.12976    
    0.444316         9.13458    
    0.448172         9.13827    
    0.449200         9.13925    
    0.450228         9.14023    
    0.454084         9.14392    
    0.459116         9.14873    
    0.462972         9.15241    
    0.464000         9.15339    
    0.465028         9.15437    
    0.468884         9.15805    
    0.473916         9.16286    
    0.477772         9.16653    
    0.478800         9.16751    
    0.479828         9.16849    
    0.483684         9.17217    
    0.488716         9.17696    
    0.492572         9.18064    
    0.493600         9.18162    
    0.494628         9.18259    
    0.498484         9.18627    
    0.503516         9.19105    
    0.507372         9.19472    
    0.508400         9.19570    
    0.509428         9.19668    
    0.513284         9.20034    
    0.518316         9.20512    
    0.522172         9.20879    
    0.523200         9.20976    
    0.524228         9.21074    
    0.528084         9.21440    
    0.533116         9.21917    
    0.536972         9.22283    
    0.538000         9.22381    
    0.539028         9.22478    
    0.542884         9.22844    
    0.547916         9.23320    
    0.551772         9.23686    
    0.552800         9.23783    
    0.553828         9.23880    
    0.557684         9.24245    
    0.562716         9.24721    
    0.566572         9.25086    
    0.567600         9.25183    
    0.568628         9.25280    
    0.572484         9.25645    
    0.577516         9.26121    
    0.581372         9.26485    
    0.582400         9.26582    
    0.583428         9.26679    
    0.587284         9.27043    
    0.592316         9.27518    
    0.596172         9.27881    
    0.597200         9.27978    
    0.598228         9.28075    
    0.602084         9.28439    
    0.607116         9.28913    
    0.610972         9.29276    
    0.612000         9.29373    
    0.613028         9.29470    
    0.616884         9.29833    
    0.621916         9.30306    
    0.625772         9.30669    
    0.626800         9.30766    
    0.627828         9.30863    
    0.631684         9.31225    
    0.636716         9.31698    
    0.640572         9.32060    
    0.641600         9.32157    
    0.642628         9.32253    
    0.646484         9.32615    
    0.651516         9.33088    
    0.655372         9.33450    
    0.656400         9.33546    
    0.657428         9.33642    
    0.661284         9.34004    
    0.666316         9.34476    
    0.670172         9.34837    
    0.671200         9.34933    
    0.672228         9.35029    
    0.676084         9.35391    
    0.681116         9.35862    
    0.684972         9.36223    
    0.686000         9.36319    
    0.687028         9.36415    
    0.690884         9.36776    
    0.695916         9.37246    
    0.699772         9.37606    
    0.700800         9.37702    
    0.701828         9.37798    
    0.705684         9.38159    
    0.710716         9.38628    
    0.714572         9.38988    
    0.715600         9.39084    
    0.716628         9.39180    
    0.720484         9.39540    
    0.725516         9.40009    
    0.729372         9.40369    
    0.730400         9.40464    
    0.731428         9.40560    
    0.735284         9.40919    
    0.740316         9.41388    
    0.744172         9.41747    
    0.745200         9.41843    
    0.746228         9.41938    
    0.750084         9.42297    
    0.755116         9.42765    
    0.758972         9.43124    
    0.760000         9.43219    
    0.761028         9.43315    
    0.764884         9.43673    
    0.769916         9.44141    
    0.773772         9.44499    
    0.774800         9.44594    
    0.775828         9.44690    
    0.779684         9.45047    
    0.784716         9.45514    
    0.788572         9.45872    
    0.789600         9.45967    
    0.790628         9.46063    
    0.794484         9.46420    
    0.799516         9.46886    
    0.803372         9.47244    
    0.804400         9.47339    
    0.805428         9.47434    
    0.809284         9.47791    
    0.814316         9.48257    
    0.818172         9.48614    
    0.819200         9.48709    
    0.820228         9.48804    
    0.824084         9.49160    
    0.829116         9.49626    
    0.832972         9.49982    
    0.834000         9.50077    
    0.835028         9.50172    
    0.838884         9.50528    
    0.843916         9.50993    
    0.847772         9.51349    
    0.848800         9.51444    
    0.849828         9.51538    
    0.853684         9.51894    
    0.858716         9.52358    
    0.862572         9.52714    
    0.863600         9.52809    
    0.864628         9.52903    
    0.868484         9.53259    
    0.873516         9.53722    
    0.877372         9.54077    
    0.878400         9.54172    
    0.879428         9.54267    
    0.883284         9.54622    
    0.888316         9.55085    
    0.892172         9.55439    
    0.893200         9.55534    
    0.894228         9.55628    
