 Surface perimeter
  rad  pla 
 1408 1006
 rho(m) perimeter(m) 
     0.00000         0.00000    
    0.490684E-03    0.872509E-02
    0.233222E-02    0.414733E-01
    0.473492E-02    0.842195E-01
    0.657645E-02    0.117008    
    0.706714E-02    0.125750    
    0.743024E-02    0.132221    
    0.879298E-02    0.156518    
    0.105710E-01    0.188256    
    0.119337E-01    0.212614    
    0.122968E-01    0.219109    
    0.126599E-01    0.225607    
    0.140227E-01    0.250016    
    0.158007E-01    0.281920    
    0.171634E-01    0.306421    
    0.175265E-01    0.312957    
    0.178896E-01    0.319497    
    0.192523E-01    0.344070    
    0.210303E-01    0.376208    
    0.223931E-01    0.400904    
    0.227562E-01    0.407494    
    0.231193E-01    0.414089    
    0.244820E-01    0.438877    
    0.262600E-01    0.471315    
    0.276228E-01    0.496255    
    0.279859E-01    0.502912    
    0.283490E-01    0.509575    
    0.297117E-01    0.534626    
    0.314897E-01    0.567425    
    0.328524E-01    0.592656    
    0.332155E-01    0.599393    
    0.335787E-01    0.606136    
    0.349414E-01    0.631495    
    0.367194E-01    0.664713    
    0.380821E-01    0.690278    
    0.384452E-01    0.697105    
    0.388083E-01    0.703939    
    0.401711E-01    0.729648    
    0.419491E-01    0.763338    
    0.433118E-01    0.789276    
    0.436749E-01    0.796204    
    0.440380E-01    0.803140    
    0.454008E-01    0.829236    
    0.471787E-01    0.863445    
    0.485415E-01    0.889789    
    0.489046E-01    0.896828    
    0.492677E-01    0.903874    
    0.506304E-01    0.930390    
    0.524084E-01    0.965158    
    0.537712E-01    0.991940    
    0.541343E-01    0.999097    
    0.544974E-01     1.00626    
    0.558601E-01     1.03323    
    0.576381E-01     1.06859    
    0.590009E-01     1.09583    
    0.593640E-01     1.10311    
    0.597271E-01     1.11040    
    0.610898E-01     1.13784    
    0.628678E-01     1.17382    
    0.642305E-01     1.20155    
    0.645936E-01     1.20895    
    0.649567E-01     1.21637    
    0.663195E-01     1.24430    
    0.680975E-01     1.28092    
    0.694602E-01     1.30914    
    0.698233E-01     1.31669    
    0.701864E-01     1.32424    
    0.715492E-01     1.35266    
    0.733272E-01     1.38994    
    0.746899E-01     1.41867    
    0.750530E-01     1.42634    
    0.754161E-01     1.43403    
    0.767788E-01     1.46296    
    0.785568E-01     1.50090    
    0.799196E-01     1.53014    
    0.802827E-01     1.53795    
    0.806458E-01     1.54577    
    0.820085E-01     1.57520    
    0.837865E-01     1.61381    
    0.851493E-01     1.64355    
    0.855124E-01     1.65149    
    0.858755E-01     1.65945    
    0.872382E-01     1.68939    
    0.890162E-01     1.72864    
    0.903789E-01     1.75888    
    0.907420E-01     1.76696    
    0.911052E-01     1.77504    
    0.924679E-01     1.80548    
    0.942459E-01     1.84537    
    0.956086E-01     1.87609    
    0.959717E-01     1.88430    
    0.963348E-01     1.89251    
    0.976976E-01     1.92342    
    0.994756E-01     1.96393    
    0.100838         1.99512    
    0.101201         2.00345    
    0.101565         2.01179    
    0.102927         2.04316    
    0.104705         2.08426    
    0.106068         2.11590    
    0.106431         2.12435    
    0.106794         2.13280    
    0.108157         2.16461    
    0.109935         2.20627    
    0.111298         2.23833    
    0.111661         2.24689    
    0.112024         2.25545    
    0.113387         2.28767    
    0.115165         2.32986    
    0.116527         2.36231    
    0.116890         2.37097    
    0.117254         2.37964    
    0.118616         2.41224    
    0.120394         2.45491    
    0.121757         2.48772    
    0.122120         2.49648    
    0.122483         2.50524    
    0.123846         2.53819    
    0.125624         2.58130    
    0.126987         2.61444    
    0.127350         2.62329    
    0.127713         2.63214    
    0.129076         2.66540    
    0.130854         2.70891    
    0.132216         2.74235    
    0.132580         2.75127    
    0.132943         2.76019    
    0.134305         2.79373    
    0.136083         2.83760    
    0.137446         2.87129    
    0.137809         2.88028    
    0.138172         2.88927    
    0.139535         2.92306    
    0.141313         2.96723    
    0.142676         3.00115    
    0.143039         3.01020    
    0.143402         3.01925    
    0.144765         3.05324    
    0.146543         3.09767    
    0.147905         3.13177    
    0.148269         3.14087    
    0.148632         3.14997    
    0.149994         3.18414    
    0.151772         3.22878    
    0.153135         3.26303    
    0.153498         3.27217    
    0.153861         3.28130    
    0.155224         3.31561    
    0.157002         3.36042    
    0.158365         3.39479    
    0.158728         3.40396    
    0.159091         3.41312    
    0.160454         3.44753    
    0.162232         3.49247    
    0.163594         3.52693    
    0.163958         3.53611    
    0.164321         3.54530    
    0.165683         3.57978    
    0.167461         3.62480    
    0.168824         3.65931    
    0.169187         3.66851    
    0.169550         3.67771    
    0.170913         3.71223    
    0.172691         3.75729    
    0.174054         3.79183    
    0.174417         3.80103    
    0.174780         3.81023    
    0.176143         3.84478    
    0.177921         3.88984    
    0.179284         3.92438    
    0.179647         3.93358    
    0.180010         3.94278    
    0.181372         3.97731    
    0.183150         4.02235    
    0.184513         4.05686    
    0.184876         4.06605    
    0.185239         4.07524    
    0.186602         4.10974    
    0.188380         4.15472    
    0.189743         4.18918    
    0.190106         4.19836    
    0.190469         4.20754    
    0.191832         4.24198    
    0.193610         4.28688    
    0.194973         4.32128    
    0.195336         4.33044    
    0.195699         4.33960    
    0.197062         4.37396    
    0.198840         4.41876    
    0.200202         4.45307    
    0.200565         4.46220    
    0.200928         4.47134    
    0.202291         4.50561    
    0.204069         4.55029    
    0.205432         4.58450    
    0.205795         4.59361    
    0.206158         4.60272    
    0.207521         4.63689    
    0.209299         4.68143    
    0.210662         4.71553    
    0.211025         4.72461    
    0.211388         4.73369    
    0.212751         4.76774    
    0.214529         4.81213    
    0.215891         4.84611    
    0.216254         4.85516    
    0.216618         4.86420    
    0.217980         4.89814    
    0.219758         4.94236    
    0.221121         4.97621    
    0.221484         4.98523    
    0.221847         4.99424    
    0.223210         5.02804    
    0.224988         5.07210    
    0.226351         5.10582    
    0.226714         5.11480    
    0.227077         5.12378    
    0.228440         5.15745    
    0.230218         5.20133    
    0.231580         5.23492    
    0.231943         5.24387    
    0.232307         5.25281    
    0.233669         5.28635    
    0.235447         5.33005    
    0.236810         5.36351    
    0.237173         5.37242    
    0.237536         5.38132    
    0.238899         5.41472    
    0.240677         5.45825    
    0.242040         5.49157    
    0.242403         5.50045    
    0.242766         5.50932    
    0.244129         5.54259    
    0.245907         5.58594    
    0.247269         5.61913    
    0.247633         5.62797    
    0.247996         5.63681    
    0.249358         5.66995    
    0.251136         5.71313    
    0.252499         5.74619    
    0.252862         5.75500    
    0.253225         5.76380    
