 Poloidal flux Psi
  rad  pla 
 1408 1006
 rho(m) Psi 
     0.00000         0.00000    
    0.138864E-02    0.271820E-04
    0.660019E-02    0.614120E-03
    0.133998E-01    0.253162E-02
    0.186114E-01    0.488444E-02
    0.200000E-01    0.564059E-02
    0.210276E-01    0.623544E-02
    0.248841E-01    0.873357E-02
    0.299159E-01    0.126253E-01
    0.337724E-01    0.160934E-01
    0.348000E-01    0.170883E-01
    0.358276E-01    0.181137E-01
    0.396841E-01    0.222282E-01
    0.447159E-01    0.282318E-01
    0.485724E-01    0.333209E-01
    0.496000E-01    0.347479E-01
    0.506276E-01    0.362060E-01
    0.544841E-01    0.419453E-01
    0.595159E-01    0.500728E-01
    0.633724E-01    0.567932E-01
    0.644000E-01    0.586550E-01
    0.654276E-01    0.605489E-01
    0.692841E-01    0.679243E-01
    0.743159E-01    0.781917E-01
    0.781724E-01    0.865564E-01
    0.792000E-01    0.888567E-01
    0.802276E-01    0.911899E-01
    0.840841E-01    0.100216    
    0.891159E-01    0.112642    
    0.929724E-01    0.122667    
    0.940000E-01    0.125409    
    0.950276E-01    0.128186    
    0.988841E-01    0.138879    
    0.103916        0.153487    
    0.107772        0.165189    
    0.108800        0.168379    
    0.109828        0.171605    
    0.113684        0.183982    
    0.118716        0.200796    
    0.122572        0.214195    
    0.123600        0.217838    
    0.124628        0.221517    
    0.128484        0.235600    
    0.133516        0.254647    
    0.137372        0.269763    
    0.138400        0.273864    
    0.139428        0.278003    
    0.143284        0.293812    
    0.148316        0.315120    
    0.152172        0.331975    
    0.153200        0.336540    
    0.154228        0.341144    
    0.158084        0.358701    
    0.163116        0.382299    
    0.166972        0.400916    
    0.168000        0.405951    
    0.169028        0.411027    
    0.172884        0.430354    
    0.177916        0.456270    
    0.181772        0.476672    
    0.182800        0.482182    
    0.183828        0.487735    
    0.187684        0.508856    
    0.192716        0.537120    
    0.196572        0.559328    
    0.197600        0.565321    
    0.198628        0.571357    
    0.202484        0.594293    
    0.207516        0.624934    
    0.211372        0.648971    
    0.212400        0.655451    
    0.213428        0.661976    
    0.217284        0.686749    
    0.222316        0.719795    
    0.226172        0.745682    
    0.227200        0.752655    
    0.228228        0.759675    
    0.232084        0.786306    
    0.237116        0.821785    
    0.240972        0.849542    
    0.242000        0.857013    
    0.243028        0.864534    
    0.246884        0.893043    
    0.251916        0.930981    
