 Safety factor
  rad  pla 
 1408 1006
 rho(m) q 
     0.00000         1.27926    
    0.138864E-02     1.27927    
    0.660019E-02     1.27931    
    0.133998E-01     1.27961    
    0.186114E-01     1.28002    
    0.200000E-01     1.28015    
    0.210276E-01     1.28026    
    0.248841E-01     1.28069    
    0.299159E-01     1.28134    
    0.337724E-01     1.28193    
    0.348000E-01     1.28210    
    0.358276E-01     1.28227    
    0.396841E-01     1.28296    
    0.447159E-01     1.28396    
    0.485724E-01     1.28481    
    0.496000E-01     1.28505    
    0.506276E-01     1.28529    
    0.544841E-01     1.28625    
    0.595159E-01     1.28759    
    0.633724E-01     1.28870    
    0.644000E-01     1.28901    
    0.654276E-01     1.28932    
    0.692841E-01     1.29054    
    0.743159E-01     1.29221    
    0.781724E-01     1.29358    
    0.792000E-01     1.29395    
    0.802276E-01     1.29433    
    0.840841E-01     1.29580    
    0.891159E-01     1.29780    
    0.929724E-01     1.29941    
    0.940000E-01     1.29985    
    0.950276E-01     1.30030    
    0.988841E-01     1.30201    
    0.103916         1.30432    
    0.107772         1.30617    
    0.108800         1.30667    
    0.109828         1.30718    
    0.113684         1.30912    
    0.118716         1.31174    
    0.122572         1.31381    
    0.123600         1.31437    
    0.124628         1.31494    
    0.128484         1.31710    
    0.133516         1.32000    
    0.137372         1.32228    
    0.138400         1.32290    
    0.139428         1.32352    
    0.143284         1.32588    
    0.148316         1.32905    
    0.152172         1.33153    
    0.153200         1.33220    
    0.154228         1.33287    
    0.158084         1.33542    
    0.163116         1.33883    
    0.166972         1.34149    
    0.168000         1.34221    
    0.169028         1.34293    
    0.172884         1.34565    
    0.177916         1.34928    
    0.181772         1.35210    
    0.182800         1.35286    
    0.183828         1.35362    
    0.187684         1.35650    
    0.192716         1.36032    
    0.196572         1.36328    
    0.197600         1.36408    
    0.198628         1.36488    
    0.202484         1.36790    
    0.207516         1.37188    
    0.211372         1.37497    
    0.212400         1.37580    
    0.213428         1.37662    
    0.217284         1.37976    
    0.222316         1.38388    
    0.226172         1.38707    
    0.227200         1.38792    
    0.228228         1.38878    
    0.232084         1.39200    
    0.237116         1.39623    
    0.240972         1.39950    
    0.242000         1.40037    
    0.243028         1.40125    
    0.246884         1.40454    
    0.251916         1.40886    
    0.255772         1.41218    
    0.256800         1.41307    
    0.257828         1.41396    
    0.261684         1.41730    
    0.266716         1.42167    
    0.270572         1.42502    
    0.271600         1.42592    
    0.272628         1.42681    
    0.276484         1.43018    
    0.281516         1.43457    
    0.285372         1.43794    
    0.286400         1.43884    
    0.287428         1.43974    
    0.291284         1.44311    
    0.296316         1.44749    
    0.300172         1.45085    
    0.301200         1.45175    
    0.302228         1.45264    
    0.306084         1.45599    
    0.311116         1.46035    
    0.314972         1.46368    
    0.316000         1.46456    
    0.317028         1.46545    
    0.320884         1.46876    
    0.325916         1.47306    
    0.329772         1.47634    
    0.330800         1.47721    
    0.331828         1.47808    
    0.335684         1.48134    
    0.340716         1.48555    
    0.344572         1.48877    
    0.345600         1.48962    
    0.346628         1.49047    
    0.350484         1.49365    
    0.355516         1.49776    
    0.359372         1.50089    
    0.360400         1.50172    
    0.361428         1.50255    
    0.365284         1.50564    
    0.370316         1.50963    
    0.374172         1.51266    
    0.375200         1.51346    
    0.376228         1.51426    
    0.380084         1.51725    
    0.385116         1.52110    
    0.388972         1.52402    
    0.390000         1.52479    
    0.391028         1.52556    
    0.394884         1.52843    
    0.399916         1.53212    
    0.403772         1.53492    
    0.404800         1.53566    
    0.405828         1.53639    
    0.409684         1.53914    
    0.414716         1.54267    
    0.418572         1.54533    
    0.419600         1.54603    
    0.420628         1.54673    
    0.424484         1.54934    
    0.429516         1.55270    
    0.433372         1.55522    
    0.434400         1.55589    
    0.435428         1.55655    
    0.439284         1.55902    
    0.444316         1.56219    
    0.448172         1.56457    
    0.449200         1.56520    
    0.450228         1.56583    
    0.454084         1.56816    
    0.459116         1.57114    
    0.462972         1.57338    
    0.464000         1.57397    
    0.465028         1.57455    
    0.468884         1.57674    
    0.473916         1.57952    
    0.477772         1.58162    
    0.478800         1.58217    
    0.479828         1.58272    
    0.483684         1.58476    
    0.488716         1.58736    
    0.492572         1.58931    
    0.493600         1.58982    
    0.494628         1.59033    
    0.498484         1.59222    
    0.503516         1.59464    
    0.507372         1.59644    
    0.508400         1.59692    
    0.509428         1.59739    
    0.513284         1.59914    
    0.518316         1.60138    
    0.522172         1.60304    
    0.523200         1.60348    
    0.524228         1.60392    
    0.528084         1.60554    
    0.533116         1.60759    
    0.536972         1.60913    
    0.538000         1.60953    
    0.539028         1.60994    
    0.542884         1.61142    
    0.547916         1.61331    
    0.551772         1.61472    
    0.552800         1.61509    
    0.553828         1.61546    
    0.557684         1.61682    
    0.562716         1.61855    
    0.566572         1.61984    
    0.567600         1.62018    
    0.568628         1.62052    
    0.572484         1.62177    
    0.577516         1.62335    
    0.581372         1.62453    
    0.582400         1.62484    
    0.583428         1.62515    
    0.587284         1.62629    
    0.592316         1.62774    
    0.596172         1.62881    
    0.597200         1.62910    
    0.598228         1.62938    
    0.602084         1.63042    
    0.607116         1.63174    
    0.610972         1.63273    
    0.612000         1.63298    
    0.613028         1.63324    
    0.616884         1.63419    
    0.621916         1.63540    
    0.625772         1.63630    
    0.626800         1.63654    
    0.627828         1.63677    
    0.631684         1.63765    
    0.636716         1.63875    
    0.640572         1.63958    
    0.641600         1.63980    
    0.642628         1.64001    
    0.646484         1.64081    
    0.651516         1.64183    
    0.655372         1.64260    
    0.656400         1.64280    
    0.657428         1.64300    
    0.661284         1.64374    
    0.666316         1.64468    
    0.670172         1.64539    
    0.671200         1.64557    
    0.672228         1.64576    
    0.676084         1.64645    
    0.681116         1.64733    
    0.684972         1.64799    
    0.686000         1.64816    
    0.687028         1.64834    
    0.690884         1.64898    
    0.695916         1.64981    
    0.699772         1.65043    
    0.700800         1.65060    
    0.701828         1.65076    
    0.705684         1.65137    
    0.710716         1.65216    
    0.714572         1.65275    
    0.715600         1.65291    
    0.716628         1.65307    
    0.720484         1.65365    
    0.725516         1.65441    
    0.729372         1.65499    
    0.730400         1.65514    
    0.731428         1.65529    
    0.735284         1.65586    
    0.740316         1.65660    
    0.744172         1.65716    
    0.745200         1.65731    
    0.746228         1.65746    
    0.750084         1.65801    
    0.755116         1.65874    
    0.758972         1.65930    
    0.760000         1.65945    
    0.761028         1.65959    
    0.764884         1.66015    
