Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ks/call  Ks/call  name    
 49.01    843.49   843.49  3090432     0.00     0.00  powabs_
 15.30   1106.88   263.39  2383714     0.00     0.00  zaxpy_
 13.74   1343.30   236.42      858     0.00     0.00  zgemm_
  4.89   1427.39    84.09 19007517     0.00     0.00  df6tcb_
  3.22   1482.85    55.46   310730     0.00     0.00  riftab_
  2.73   1529.85    47.00   310730     0.00     0.00  hottev_
  1.68   1558.70    28.85 111963996     0.00     0.00  zset_
  1.65   1587.02    28.32     1928     0.00     0.00  mu3tf2bl_fast_
  1.62   1614.84    27.81   155365     0.00     0.00  polfft_
  0.89   1630.20    15.36  9397125     0.00     0.00  vacmbg_
  0.88   1645.34    15.14 20380270     0.00     0.00  zcopy_
  0.87   1660.29    14.95  6494071     0.00     0.00  dset_
  0.81   1674.28    13.99      482     0.00     0.00  ascurl_
  0.80   1688.08    13.80  4422423     0.00     0.00  df2tcb_
  0.36   1694.34     6.26   499178     0.00     0.00  izamax_
  0.30   1699.45     5.11  4770669     0.00     0.00  dcopy_
  0.26   1704.00     4.55     1408     0.00     0.00  magmod_
  0.10   1705.76     1.76  7574245     0.00     0.00  plasmb_
  0.08   1707.20     1.44     2533     0.00     0.00  foucog_
  0.08   1708.62     1.42 15137443     0.00     0.00  zdscal_
  0.08   1710.01     1.39      287     0.00     0.00  dl2tcg_
  0.07   1711.24     1.23      288     0.00     0.00  dl2ccg_
  0.07   1712.45     1.21   332663     0.00     0.00  zscal_
  0.06   1713.49     1.04   222864     0.00     0.00  zswap_
  0.05   1714.33     0.84   167406     0.00     0.00  dzasum_
  0.04   1715.07     0.74  4422423     0.00     0.00  df3tcb_
  0.04   1715.78     0.71        1     0.00     0.86  outpow_
  0.04   1716.41     0.63        2     0.00     0.06  outrf2_
  0.03   1716.92     0.51  7773735     0.00     0.00  zif4_
  0.03   1717.42     0.50      576     0.00     0.00  aqwrite_
  0.02   1717.85     0.43        1     0.00     0.00  tables_
  0.02   1718.27     0.42      942     0.00     0.00  aqread_
  0.02   1718.64     0.37   165972     0.00     0.00  zdotc_
  0.02   1718.94     0.30  7775783     0.00     0.00  zdotu_
  0.02   1719.22     0.28    93215     0.00     0.00  df6trf_
  0.02   1719.49     0.27   518099     0.00     0.00  hotten_
  0.01   1719.70     0.21  6765930     0.00     0.00  mul3_fast_
  0.01   1719.84     0.14       17     0.00     0.00  idmax_
  0.01   1719.97     0.13       17     0.00     0.00  idmin_
  0.01   1720.07     0.10  7773737     0.00     0.00  isrchfgt_
  0.01   1720.16     0.09      287     0.00     0.00  cgesl2_
  0.01   1720.25     0.09        1     0.00     0.74  genera3_
  0.00   1720.33     0.08        1     0.00     0.00  outtab_
  0.00   1720.40     0.07 88438225     0.00     0.00  inscr_
  0.00   1720.47     0.07   722304     0.00     0.00  dshap2_
  0.00   1720.52     0.05   722304     0.00     0.00  dshap1_
  0.00   1720.57     0.05   516078     0.00     0.00  charsu_
  0.00   1720.62     0.05      861     0.00     0.00  dmach_
  0.00   1720.67     0.05      287     0.00     0.00  fbstep_
  0.00   1720.72     0.05        5     0.00     0.00  intbou_
  0.00   1720.77     0.05        1     0.00     0.00  outdis_ern_
  0.00   1720.82     0.05                             dcsval_
  0.00   1720.86     0.04        1     0.00     0.00  outgrid_
  0.00   1720.90     0.04                             pa03a_
  0.00   1720.93     0.03                             df4tcb_
  0.00   1720.94     0.01    18643     0.00     0.00  df3trf_
  0.00   1720.95     0.01     6036     0.00     0.00  dsum_
